Media Source,Tweet,Date,Compound,Positive,Neutral,Negative,Tweets Ago
Fox News,".@CLewandowski_: “Donald Trump won the election, and there was no collusion.” https://t.co/ZajUY2ibu7",Mon Mar 12 14:47:15 +0000 2018,0.3612,0.233,0.629,0.138,65
Fox News,".@CLewandowski_ on @POTUS agreeing to meet with Kim Jong Un: “I think it’s bold."" https://t.co/qvLDbeB4K2",Mon Mar 12 14:39:55 +0000 2018,0.34,0.146,0.854,0.0,66
Fox News,"Pressure grows for Joy Behar to apologize over anti-Christian comments, but ABC is silent https://t.co/kj9iMEW4r3",Mon Mar 12 14:29:24 +0000 2018,0.25,0.209,0.698,0.093,67
Fox News,Report: Liberal Student Orgs Get 20x More Funding Than Conservative Groups at UW-Madison https://t.co/KQ4Yo6guLB,Mon Mar 12 14:27:47 +0000 2018,0.0,0.0,1.0,0.0,68
Fox News,"RT @FoxBusiness: .@POTUS handled North Korea situation correctly, @GOPLeader says https://t.co/rh7D1gmYiY https://t.co/9tY5KPJlNH",Mon Mar 12 14:25:46 +0000 2018,0.0,0.0,1.0,0.0,69
Fox News,Homeless encampment discovered on top of California Amtrak station https://t.co/EVPNENM1Y0,Mon Mar 12 14:21:26 +0000 2018,0.2023,0.167,0.833,0.0,70
Fox News,John Sununu on Trump-Kim Jong Un summit: “The timing is always right for such a meeting.” https://t.co/oXwE5jEHEL,Mon Mar 12 14:10:27 +0000 2018,0.0,0.0,1.0,0.0,71
Fox News,National School Walkout planned by students worldwide after Parkland shooting https://t.co/kb5C50S1c0,Mon Mar 12 13:53:36 +0000 2018,-0.3182,0.0,0.813,0.187,72
Fox News,.@Judgenap: “[@POTUS] should not talk to Bob Mueller.” https://t.co/pYkflbzjcl,Mon Mar 12 13:44:30 +0000 2018,0.0,0.0,1.0,0.0,73
Fox News,Dash cam video shows suspect taking off with officer in car during traffic stop https://t.co/CaIrGNF0u7,Mon Mar 12 13:31:59 +0000 2018,-0.5267,0.0,0.747,0.253,74
Fox News,"Ex-Russian spy poisoning looks to be 'state-sponsored,' UK lawmaker says https://t.co/0lmFq0BuhV",Mon Mar 12 13:30:37 +0000 2018,-0.5859,0.0,0.725,0.275,75
Fox News,Alleged missing 'Scientology Queen' the subject of a new Vanity Fair documentary https://t.co/8LSYU6FM41,Mon Mar 12 13:09:43 +0000 2018,-0.2023,0.149,0.584,0.266,76
Fox News,Study: Trump’s Border Wall Could Pay for Itself by Cutting Welfare to Illegal Immigrants https://t.co/vsyXpvza4M,Mon Mar 12 13:05:55 +0000 2018,-0.6705,0.0,0.649,0.351,77
Fox News,Pilot in deadly East River helicopter crash made frantic 'mayday' call https://t.co/rl92sp78pi,Mon Mar 12 12:47:52 +0000 2018,-0.6808,0.0,0.641,0.359,78
Fox News,.@SenatorTimScott on tax reform: “I think this is an exciting piece of legislation that every single American from… https://t.co/TxOu4S4xXx,Mon Mar 12 12:45:16 +0000 2018,0.4939,0.151,0.849,0.0,79
Fox News,.@SenatorTimScott: “It’s time for us to act… We have bipartisan legislation that would ultimately fix the backgroun… https://t.co/A0SaBevmts,Mon Mar 12 12:36:09 +0000 2018,0.0,0.0,1.0,0.0,80
Fox News,Tim McGraw collapses during Ireland concert https://t.co/oh6cetvll8,Mon Mar 12 12:29:21 +0000 2018,-0.296,0.0,0.732,0.268,81
Fox News,Elon Musk's very rapid underground transportation system will feature 150 mph buses https://t.co/FNbS0v0jDS,Mon Mar 12 12:25:23 +0000 2018,0.0,0.0,1.0,0.0,82
Fox News,"Helicopter crashes in New York City's East River; all 5 passengers dead, pilot only survivor https://t.co/EOhQpmwO5v",Mon Mar 12 12:21:29 +0000 2018,-0.4215,0.126,0.657,0.217,83
Fox News,OPINION: Michael Goodwin: Critics bash Trump but offer no solutions of their own https://t.co/0ZTCsfgqzO,Mon Mar 12 12:02:09 +0000 2018,-0.3291,0.117,0.63,0.252,84
Fox News,.@BetsyDeVosED on @foxandfriends: “The president is committed to taking action and to ensuring that we do what we c… https://t.co/0lzdMM2ssP,Mon Mar 12 11:44:29 +0000 2018,0.4939,0.189,0.811,0.0,85
Fox News,.@BetsyDeVosED on @foxandfriends: “We’re going to advance ways in which schools can be made safer for students.”… https://t.co/w6py2Uiaes,Mon Mar 12 11:40:08 +0000 2018,0.4215,0.141,0.859,0.0,86
Fox News,".@BetsyDeVosED on @foxandfriends: “We have many other venues in our country that are kept safe, and schools have to… https://t.co/kLFBgwt75e",Mon Mar 12 11:38:41 +0000 2018,0.4404,0.132,0.868,0.0,87
Fox News,".@GOPLeader on @foxandfriends: ""We are a rule of law country. They are breaking down the rule of law by creating a… https://t.co/ikQHHLyX7K",Mon Mar 12 11:32:45 +0000 2018,0.296,0.099,0.901,0.0,88
Fox News,Jane Goodall says she was worried how son would react to 'Jane' documentary https://t.co/knaoYmuhN7,Mon Mar 12 11:16:05 +0000 2018,-0.296,0.0,0.855,0.145,89
Fox News,"Joel Payne on @foxandfriends: ""There’s no place for anti-Semitism in the public discourse."" https://t.co/jumgrHz1No",Mon Mar 12 11:09:07 +0000 2018,-0.296,0.0,0.855,0.145,90
Fox News,"Breaking News: At least 38 dead after passenger plane crashes and bursts into flames at Nepal airport, official says https://t.co/u8zf2LZ9wR",Mon Mar 12 11:01:04 +0000 2018,-0.6486,0.0,0.815,0.185,91
Fox News,.@JaniceDean gives an update on the weather on @foxandfriends https://t.co/oiaQ1WQ3Vk,Mon Mar 12 10:58:26 +0000 2018,0.0,0.0,1.0,0.0,92
Fox News,.@dbongino on coffee shop refusing to serve uniformed police officers: “If something happened in this place...the c… https://t.co/08niUgbEd9,Mon Mar 12 10:52:58 +0000 2018,-0.4019,0.0,0.863,0.137,93
Fox News,"Pressure grows for 'The View' star Joy Behar to apologize over anti-Christian comments, but ABC is silent https://t.co/kj9iMEW4r3",Mon Mar 12 10:46:01 +0000 2018,0.25,0.178,0.743,0.079,94
Fox News,"OPINION: In Pennsylvania special election, the silence of Democrat Conor Lamb speaks volumes to Trump voters https://t.co/AFVQOOFMN1",Mon Mar 12 10:30:51 +0000 2018,0.4019,0.144,0.856,0.0,95
Fox News,"Joseph Semprevivo on GOP tax plan: When we received those funds, we went to our most dedicated team members and we… https://t.co/XgGX2vhyAt",Mon Mar 12 10:24:12 +0000 2018,0.5095,0.136,0.864,0.0,96
Fox News,Three-peat! Kevin Harvick wins third @NASCAR Cup race in a row at Phoenix https://t.co/aJosD6xjEJ,Mon Mar 12 10:16:57 +0000 2018,0.6114,0.25,0.75,0.0,97
Fox News,"OPINION: Rep. @LamarSmithTX21: Climate change and the scientific method - we should welcome new research, not resis… https://t.co/MVIChTjfMG",Mon Mar 12 10:11:16 +0000 2018,0.4588,0.158,0.842,0.0,98
Fox News,Chuck Rocha: “I think that there's people out there that say outlandish things on both sides. I think we can use so… https://t.co/b6g67sgjHM,Mon Mar 12 09:48:29 +0000 2018,0.0,0.0,1.0,0.0,99
Fox News,Photo of @JoeBiden talking to homeless man goes viral https://t.co/Yl8GwsasIz https://t.co/pn7bcUjQOO,Mon Mar 12 09:37:48 +0000 2018,0.0,0.0,1.0,0.0,100
Fox News,"Dr. Rebecca Grant: ""Donald Trump is the last person I would worry about in a deal-making meeting."" https://t.co/sC41pmQbzj",Mon Mar 12 09:28:38 +0000 2018,-0.1027,0.129,0.722,0.149,101
Fox News,"Helicopter crashes in New York City's East River; all 5 passengers dead, pilot only survivor https://t.co/EOhQpmwO5v https://t.co/cp2Zejf4rz",Mon Mar 12 09:20:58 +0000 2018,-0.4215,0.12,0.673,0.207,102
Fox News,"Attorney David Bruno on death penalty for all drug dealers: ""That's impractical, it's unreasonable, and it's unjust… https://t.co/ufw4RXZVkg",Mon Mar 12 09:00:01 +0000 2018,-0.7845,0.0,0.699,0.301,103
Fox News,".@Jehmu: ""At a rate of something like 30 to 1 corporations are spending that money on share buybacks and not puttin… https://t.co/I9tD6CAs5R",Mon Mar 12 09:00:01 +0000 2018,0.5719,0.207,0.793,0.0,104
Fox News,"Attorney Randy Zelin on death penalty for drug dealers: ""The ultimate penalty, the ultimate deterrence, is the only… https://t.co/4OsOGRrRbB",Mon Mar 12 08:53:12 +0000 2018,-0.872,0.0,0.618,0.382,105
Fox News,OPINION: Why a nuke-free North Korea is China's worst nightmare https://t.co/O3wLBEcjyW,Mon Mar 12 08:47:46 +0000 2018,-0.6249,0.0,0.687,0.313,106
Fox News,".@BPUnion President Brandon Judd on border wall: ""We're finally getting a wall in strategic locations that are fina… https://t.co/Z8tbvlc58x",Mon Mar 12 08:44:35 +0000 2018,0.0,0.0,1.0,0.0,107
Fox News,"Daycare owner sentenced for drugging and abandoning kids to to go tanning, do CrossFit https://t.co/wC8JqlE9X2 https://t.co/7YHiwwm29F",Mon Mar 12 08:36:05 +0000 2018,-0.4019,0.0,0.791,0.209,108
Fox News,Photo of @JoeBiden talking to homeless man goes viral: report https://t.co/O5YgzYXZAT,Mon Mar 12 08:32:38 +0000 2018,0.0,0.0,1.0,0.0,109
Fox News,Kristian Saucier: “It was a clear attempt by the Department of Justice… under Obama to use me as a scapegoat to tak… https://t.co/DutfHhl0X8,Mon Mar 12 08:30:00 +0000 2018,-0.0258,0.107,0.782,0.111,110
Fox News,".@KristinBTate: ""The Republican party is Trump's party. He is the heart and the soul of the party, and the people l… https://t.co/eYxQItfkSP",Mon Mar 12 08:28:48 +0000 2018,0.7964,0.299,0.701,0.0,111
Fox News,North Korea to seek peace treaty with US at Trump meeting: report https://t.co/5HS9fQtPh7,Mon Mar 12 08:15:54 +0000 2018,0.5423,0.226,0.774,0.0,112
Fox News,UN Council to be briefed on meeting between United States and North Korea https://t.co/a4LdOCUA8p https://t.co/Fim1gmU7Hw,Mon Mar 12 08:11:42 +0000 2018,0.4215,0.167,0.833,0.0,113
Fox News,Controversy over Florida researchers' approach to kill overpopulating iguanas https://t.co/fslHaBSmh7,Mon Mar 12 08:10:00 +0000 2018,-0.6908,0.0,0.657,0.343,114
Fox News,"Helicopter crashes in New York City's East River; all 5 passengers dead, pilot only survivor https://t.co/5UECkEv357 https://t.co/BcFZfaouSE",Mon Mar 12 08:07:13 +0000 2018,-0.4215,0.12,0.673,0.207,115
Fox News,"Man allegedly in country illegally charged after AR-15-style rifle found outside hotel prior to march, report says https://t.co/A4fqxaBRgl",Mon Mar 12 08:05:00 +0000 2018,-0.2023,0.0,0.904,0.096,116
Fox News,".@marykissel: ""Trade deficits don't have to be repaid. We have trade deficits when the buying power of Americans is… https://t.co/84wYwgvhQt",Mon Mar 12 08:00:00 +0000 2018,0.0,0.0,1.0,0.0,117
Fox News,".@netanyahu on the top three threats Israel faces: ""Iran, Iran, Iran."" https://t.co/zdjgmuXftL",Mon Mar 12 07:55:00 +0000 2018,-0.25,0.123,0.685,0.192,118
Fox News,"Mexico tourist ferry blast triggered by simple, possibly homemade explosive device, investigators say https://t.co/Id5XInSK6e",Mon Mar 12 07:50:00 +0000 2018,0.0,0.0,1.0,0.0,119
Fox News,"Peter Navarro: ""Some analysts calculate that for every billion dollars in trade deficit we have, that's 6,000 jobs… https://t.co/DgXOJUAhs4",Mon Mar 12 07:49:00 +0000 2018,-0.4019,0.0,0.87,0.13,120
Fox News,"Jason Riley: ""The Constitution is very clear, the Supreme Court has been very clear. California is trying to block… https://t.co/703bejSTNx",Mon Mar 12 07:45:00 +0000 2018,0.8641,0.362,0.638,0.0,121
Fox News,"ABOVE THE CALL OF DUTY: Several days after a nor'easter slammed the area, police officers continued to clear the ro… https://t.co/M66PAxi50y",Mon Mar 12 07:40:00 +0000 2018,0.3818,0.12,0.88,0.0,122
Fox News,"Kevin Jackson: ""[@realDonaldTrump is] very selective about what he's bringing back. He doesn't need to bring back p… https://t.co/gFIzTbN1xz",Mon Mar 12 07:35:00 +0000 2018,0.0,0.0,1.0,0.0,123
Fox News,Hong Kong pro-democracy movement loses ground in by-election https://t.co/95bKV3KDal,Mon Mar 12 07:30:01 +0000 2018,-0.3182,0.0,0.777,0.223,124
Fox News,".@nfergus: ""By comparison with @BarackObama, @realDonaldTrump has made significant progress. I'm not saying there's… https://t.co/AMUtMhzoZ9",Mon Mar 12 07:25:00 +0000 2018,0.5574,0.261,0.739,0.0,125
Fox News,"Private plane crashes in Iran, killing socialite, her bachelorette party on board https://t.co/5wdIE7Ai1F",Mon Mar 12 07:20:00 +0000 2018,-0.4019,0.149,0.608,0.243,126
Fox News,".@netanyahu: ""When I look at America I don't only think of the principles of freedom, I think of America's defense… https://t.co/VoveXDkwpj",Mon Mar 12 07:15:00 +0000 2018,0.6369,0.198,0.802,0.0,127
Fox News,"""[@realDonaldTrump] gets to the point, and I appreciate that.""

On ""Life, Liberty, and Levin,"" Israeli Prime Minist… https://t.co/XynNIdoIX2",Mon Mar 12 07:10:00 +0000 2018,0.7269,0.289,0.711,0.0,128
Fox News,".@POTUS: ""Today, I'm calling on Congress to stop funding sanctuary cities so we can save American lives."" https://t.co/YgcUvWnSjD",Mon Mar 12 07:05:00 +0000 2018,0.3102,0.16,0.739,0.102,129
Fox News,".@Saccone4PA18: ""I've always been pro-jobs... I've always supported the steel industry and bringing jobs back to Pe… https://t.co/lAdZCGCdCU",Mon Mar 12 07:00:00 +0000 2018,0.3182,0.119,0.881,0.0,130
Fox News,Republican Jewish Coalition demands resignation of Democratic leaders with ties to Farrakhan https://t.co/p9JgLTbu51 https://t.co/PZ1JSm0UbP,Mon Mar 12 06:59:00 +0000 2018,-0.296,0.0,0.855,0.145,131
Fox News,Putin ordered to shoot down passenger plane over terror threat https://t.co/jMqy1YXdmw,Mon Mar 12 06:55:00 +0000 2018,-0.8481,0.0,0.465,0.535,132
Fox News,".@netanyahu: ""America has been the vanguard of freedom, and without the United States of America you wouldn't have… https://t.co/hAlGrjO2Sm",Mon Mar 12 06:50:00 +0000 2018,0.4344,0.178,0.722,0.099,133
Fox News,Nick Gordon reportedly arrested on domestic violence charges once again https://t.co/DvkAhTJshA,Mon Mar 12 06:45:00 +0000 2018,-0.8519,0.0,0.462,0.538,134
Fox News,".@Saccone4PA18: ""If President @realDonaldTrump's in your corner, how can you lose?"" https://t.co/Nn3gKQQF3w",Mon Mar 12 06:40:00 +0000 2018,0.0,0.0,1.0,0.0,135
Fox News,Seoul envoy in China for talks on North Korea developments https://t.co/XhATnJ7dVR,Mon Mar 12 06:37:00 +0000 2018,0.0,0.0,1.0,0.0,136
Fox News,".@GOPLeader: ""Christopher Steele says he knew that the @DNC and @HillaryClinton were paying for it."" https://t.co/rIGjUF5eeJ",Mon Mar 12 06:33:00 +0000 2018,0.0,0.0,1.0,0.0,137
Fox News,"Rep. @MaxineWaters responds to President @realDonaldTrump, who called her a ""very low IQ individual.""… https://t.co/cGCLa6QEYZ",Mon Mar 12 06:33:00 +0000 2018,-0.3384,0.0,0.845,0.155,138
