Media Source,Tweet,Date,Compound,Positive,Neutral,Negative,Tweets Ago
ABC News,"Firefighters in northern California are reunited with Boo, a dog they rescued and resuscitated from a devastating h… https://t.co/mGq6z5hY9n",Mon Mar 12 13:16:58 +0000 2018,-0.3612,0.127,0.679,0.195,75
ABC News,"Military parade ordered by Pres. Trump will take place on Veterans Day, according to memo for Chairman of the Joint… https://t.co/qsqH8znsQ7",Mon Mar 12 12:59:03 +0000 2018,0.0,0.0,1.0,0.0,76
ABC News,While the president has in recent weeks suggested other politicians have not pushed for changing the minimum age ou… https://t.co/j4BgIXnbs0,Mon Mar 12 12:57:04 +0000 2018,0.0,0.0,1.0,0.0,77
ABC News,Former Obama aide Ben Rhodes warns Pres. Trump can't approach the possible meeting with Kim Jong Un 'like a reality… https://t.co/VDDsGbptkB,Mon Mar 12 12:53:03 +0000 2018,0.2732,0.114,0.822,0.064,78
ABC News,"NEW: Advocacy group founded by Gabrielle Giffords: ""The policies that Trump has said he will support range from ins… https://t.co/qCiqxxtUVT",Mon Mar 12 12:50:04 +0000 2018,0.4019,0.124,0.876,0.0,79
ABC News,"Pres. Trump has called for bold action to improve school safety after last month's Parkland shooting, but a set of… https://t.co/oLP5uBjZcS",Mon Mar 12 12:45:06 +0000 2018,0.5647,0.249,0.751,0.0,80
ABC News,LATEST: NTSB sending 14-member crew to investigate helicopter crash in Manhattan's East River that killed five pass… https://t.co/Ff2UdBIPlO,Mon Mar 12 12:42:41 +0000 2018,-0.802,0.0,0.69,0.31,81
ABC News,"ANALYSIS: The math behind the Democrats' quest to win the Pennsylvania special election. 

Pres. Trump won this are… https://t.co/t2jf5rui2l",Mon Mar 12 12:30:05 +0000 2018,0.8807,0.389,0.611,0.0,82
ABC News,"GOP congressman: 'Nothing sinister' about recurring role in Russia probe.

“There is simply nothing sinister, and e… https://t.co/Xj3esysBLK",Mon Mar 12 12:26:54 +0000 2018,-0.8316,0.0,0.672,0.328,83
ABC News,"LATEST: At least 39 killed as passenger jet bursts into flames after landing at Kathmandu airport, Nepal. 

Of the… https://t.co/0TBbEcxn5Q",Mon Mar 12 12:23:04 +0000 2018,-0.6705,0.0,0.809,0.191,84
ABC News,Three USPS employees treated after coming in contact with a package containing unknown hazardous substance at mail-… https://t.co/5ANHYNQYt7,Mon Mar 12 12:05:07 +0000 2018,0.0,0.0,1.0,0.0,85
