Media Source,Tweet,Date,Compound,Positive,Neutral,Negative,Tweets Ago
BBC News (UK),Liam Colgan's family say the search for him 'won't stop' https://t.co/QJi5vFLaj5,Fri Mar 09 10:26:33 +0000 2018,0.2235,0.159,0.841,0.0,76
BBC News (UK),UK to seek exemption from US steel tariffs https://t.co/xkorE3iTnh,Fri Mar 09 10:10:10 +0000 2018,0.0,0.0,1.0,0.0,77
BBC News (UK),"RT @BBCNewsnight: Bullying, harassment and intimidation in the House of Commons – watch the exclusive report by @xtophercook and @LucindaCD…",Fri Mar 09 10:03:58 +0000 2018,-0.8658,0.056,0.562,0.382,78
BBC News (UK),RT @bbcouch: Could you face the fear of skiing blind at 70mph? Find out how world champ and @paralympicsGB skier @knight_millie faced her b…,Fri Mar 09 09:57:13 +0000 2018,-0.4215,0.103,0.7,0.197,79
BBC News (UK),Racist Nottingham Trent University halls chants: Three released https://t.co/l9Qfy2rV3H,Fri Mar 09 09:35:18 +0000 2018,-0.6124,0.0,0.667,0.333,80
BBC News (UK),Russian spy: Foreign minister says Russia willing to help in inquiry https://t.co/S2WSL5RR2f,Fri Mar 09 09:26:48 +0000 2018,0.4019,0.197,0.803,0.0,81
BBC News (UK),"RT @VictoriaLIVE: Friday's @VictoriaLIVE with @ChloeTilley
▪️Trump accepts 'milestone' meeting with Kim
▪️Acid attack survivor on the day h…",Fri Mar 09 08:52:57 +0000 2018,0.1779,0.201,0.669,0.13,82
BBC News (UK),RT @bbcbaxter: Are you worried about the cost of #peanutbutter #harleydavidson bikes #Levis &amp; #Bourbon whisky potentially going up? #Tarrif…,Fri Mar 09 08:42:23 +0000 2018,-0.296,0.0,0.896,0.104,83
BBC News (UK),"RT @BBCWorld: In case you're just waking up: 

Obama is going to Netflix and Trump is going to North Korea. 

He has accepted an invite fro…",Fri Mar 09 06:21:41 +0000 2018,0.4019,0.134,0.866,0.0,84
BBC News (UK),Talks on three-year pay deal for NHS staff 'positive' https://t.co/MAYaJJD4Y2,Fri Mar 09 06:02:06 +0000 2018,-0.1027,0.0,0.865,0.135,85
